1,29546
2,29493
3,29482
4,29898
5,29736
6,29805
7,29981
8,30057
9,30189
10,30241
11,30355
12,30450
13,30414
14,30515
15,30694
16,30808
17,30878
18,31045
19,31081
20,31219
21,31265
22,31641
23,31810
24,32015
25,32046
26,32119
27,32305
28,32332
29,32352
30,32458
31,32488
32,32853
33,32652
34,32715
35,32755
36,32927
37,32992
38,33066
39,33479
40,33144
41,33255
42,33281
43,33427
44,33555
45,33735
46,33855
47,33940
48,33981
49,34187
50,28091
51,28164
52,28093
53,28092
54,28094
55,28196
56,28249
57,28258
58,28262
59,28264
60,28266
61,28267
62,28269
63,28268
64,28270
65,28397
66,28501
67,28271
68,28272
69,28273
70,28274
71,28580
72,28275
73,28276
74,28287
75,28827
76,28716
77,28717
78,28251
79,28571
80,28576
81,28570
82,28569
83,28575
84,28581
85,28505
86,28504
87,28255
88,28247
89,28256
90,28257
91,28261
92,28503
93,28263
94,28511
95,28250
96,28265
97,28502
98,28578
99,28579
100,28248
101,28585
102,28584
103,28587
104,28589
105,28588
106,28590
107,28583
108,28582
109,28586
110,28597
111,28594
112,28600
113,28599
114,28593
115,28591
116,28606
117,28608
118,28602
119,28595
120,28598
121,28604
122,28601
123,28605
124,28592
125,28609
126,28607
127,28596
128,28603
129,28611
130,28618
131,28623
132,28614
133,28625
134,28620
135,28624
136,28617
137,28621
138,28612
139,28613
140,28619
141,28616
142,28615
143,28622
144,28610
145,28326
146,28327
147,28328
148,28329
149,28330
150,28331
151,28332
152,28333
153,28334
154,28335
155,28336
156,28337
157,28338
158,28353
159,28339
160,28340
161,28341
162,28342
163,28343
164,28344
165,28345
166,28346
167,28347
168,28348
169,28349
170,28350
171,28352
172,28351
173,39886
174,40190
175,40191
176,40792
177,40839
178,40840
179,41220
180,41280
181,41198
182,42433
183,42514
184,42577
185,42669
186,42746
187,34220
188,34218
189,34221
190,34222
191,34219
192,34224
193,34223
194,34266
195,34293
196,34255
197,34262
198,34300
199,38934
200,39065
201,38945
202,38983
203,34301
204,34302
205,34303
206,34353
207,34393
208,34362
209,34382
210,34397
211,34403
212,34405
213,34406
214,34407
215,29215
216,29216
217,29218
218,29219
219,34458
220,29220
221,29217
222,29222
223,29226
224,29223
225,29227
226,29228
227,29229
228,29230
229,29224
230,29232
231,29225
